time,pitch,pitch_filt
3.032,12.4425, 12.2848
3.036,12.4903, 12.3288
3.040,12.5307, 12.3722
3.044,12.5733, 12.4154
3.048,12.6180, 12.4582
3.052,12.6614, 12.5009
3.056,12.7067, 12.5443
3.060,12.7527, 12.5875
3.064,12.7984, 12.6317
3.068,12.8469, 12.6766
3.072,12.8940, 12.7222
3.076,12.9429, 12.7686
3.080,12.9917, 12.8156
3.084,13.0391, 12.8633
3.088,13.0886, 12.9114
3.092,13.1369, 12.9596
3.096,13.1874, 13.0081
3.100,13.2364, 13.0567
3.104,13.2870, 13.1056
3.108,13.3393, 13.1551
3.112,13.3902, 13.2050
3.116,13.4409, 13.2554
3.120,13.4929, 13.3062
3.124,13.5451, 13.3574
3.128,13.5993, 13.4088
3.132,13.6460, 13.4604
3.136,13.7036, 13.5121
3.140,13.7528, 13.5641
3.144,13.8046, 13.6160
3.148,13.8547, 13.6678
3.152,13.9079, 13.7192
3.156,13.9588, 13.7710
3.160,14.0104, 13.8220
3.164,14.0620, 13.8734
3.168,14.1145, 13.9249
3.172,14.1659, 13.9766
3.176,14.2172, 14.0281
3.180,14.2678, 14.0797
3.184,14.3191, 14.1312
3.188,14.3676, 14.1824
3.192,14.4163, 14.2331
3.196,14.4659, 14.2832
3.200,14.5145, 14.3328
3.204,14.5634, 14.3820
3.208,14.6126, 14.4308
3.212,14.6611, 14.4797
3.216,14.7096, 14.5285
3.220,14.7573, 14.5771
3.224,14.8054, 14.6257
3.228,14.8530, 14.6740
3.232,14.9020, 14.7220
3.236,14.9452, 14.7699
3.240,14.9969, 14.8174
3.244,15.0401, 14.8648
3.248,15.0857, 14.9118
3.252,15.1310, 14.9584
3.256,15.1765, 15.0043
3.260,15.2210, 15.0501
3.264,15.2663, 15.0950
3.268,15.3112, 15.1402
3.272,15.3577, 15.1852
3.276,15.4035, 15.2303
3.280,15.4505, 15.2756
3.284,15.4987, 15.3214
3.288,15.5464, 15.3676
3.292,15.5954, 15.4145
3.296,15.6445, 15.4619
3.300,15.6947, 15.5100
3.304,15.7456, 15.5587
3.308,15.7979, 15.6079
3.312,15.8531, 15.6580
3.316,15.9077, 15.7092
3.320,15.9649, 15.7616
3.324,16.0228, 15.8155
3.328,16.0818, 15.8707
3.332,16.1448, 15.9273
3.336,16.2005, 15.9850
3.340,16.2695, 16.0441
3.344,16.3293, 16.1042
3.348,16.3935, 16.1654
3.352,16.4580, 16.2276
3.356,16.5238, 16.2904
3.360,16.5906, 16.3544
3.364,16.6579, 16.4185
3.368,16.7273, 16.4841
3.372,16.7959, 16.5505
3.376,16.8651, 16.6179
3.380,16.9358, 16.6861
3.384,17.0046, 16.7549
3.388,17.0760, 16.8241
3.392,17.1454, 16.8936
3.396,17.2167, 16.9635
3.400,17.2872, 17.0336
3.404,17.3565, 17.1037
3.408,17.4259, 17.1740
3.412,17.4951, 17.2439
3.416,17.5638, 17.3137
3.420,17.6333, 17.3830
3.424,17.7012, 17.4520
3.428,17.7687, 17.5209
3.432,17.8403, 17.5895
3.436,17.9007, 17.6579
3.440,17.9749, 17.7259
3.444,18.0385, 17.7936
3.448,18.1057, 17.8610
3.452,18.1747, 17.9283
3.456,18.2423, 17.9951
3.460,18.3107, 18.0629
3.464,18.3797, 18.1301
3.468,18.4503, 18.1982
3.472,18.5211, 18.2668
3.476,18.5932, 18.3359
3.480,18.6656, 18.4058
3.484,18.7394, 18.4766
3.488,18.8146, 18.5483
3.492,18.8914, 18.6209
3.496,18.9688, 18.6947
3.500,19.0486, 18.7696
3.504,19.1283, 18.8459
3.508,19.2093, 18.9234
3.512,19.2896, 19.0021
3.516,19.3717, 19.0816
3.520,19.4538, 19.1619
3.524,19.5372, 19.2427
3.528,19.6182, 19.3242
3.532,19.7058, 19.4061
3.536,19.7821, 19.4886
3.540,19.8715, 19.5712
3.544,19.9508, 19.6540
3.548,20.0344, 19.7368
3.552,20.1167, 19.8197
3.556,20.1995, 19.9021
3.560,20.2820, 19.9850
3.564,20.3635, 20.0671
3.568,20.4447, 20.1495
3.572,20.5251, 20.2315
3.576,20.6054, 20.3130
3.580,20.6861, 20.3941
3.584,20.7651, 20.4747
3.588,20.8444, 20.5549
3.592,20.9237, 20.6348
3.596,21.0013, 20.7143
