time,label,pitch,filtered
7.844,[kmtcs],2.4681, 2.4932
7.848,[kmtcs],2.5355, 2.4972
7.852,[kmtcs],2.5291, 2.5009
7.856,[kmtcs],2.4986, 2.5056
7.860,[kmtcs],2.5571, 2.5119
7.864,[kmtcs],2.5397, 2.5122
7.868,[kmtcs],2.5292, 2.5237
7.872,[kmtcs],2.5862, 2.5272
7.876,[kmtcs],2.5445, 2.5346
7.880,[kmtcs],2.5653, 2.5450
7.884,[kmtcs],2.5920, 2.5488
7.888,[kmtcs],2.5247, 2.5553
7.892,[kmtcs],2.6118, 2.5605
7.896,[kmtcs],2.5571, 2.5599
7.900,[kmtcs],2.5914, 2.5649
7.904,[kmtcs],2.5999, 2.5686
7.908,[kmtcs],2.5803, 2.5715
7.912,[kmtcs],2.6449, 2.5829
7.916,[kmtcs],2.6377, 2.5870
7.920,[kmtcs],2.6217, 2.6015
7.924,[kmtcs],2.6947, 2.6136
7.928,[kmtcs],2.6771, 2.6281
7.932,[kmtcs],2.6886, 2.6461
7.936,[kmtcs],2.7187, 2.6584
7.940,[kmtcs],2.6935, 2.6736
7.944,[kmtcs],2.7551, 2.6894
7.948,[kmtcs],2.7265, 2.6978
7.952,[kmtcs],2.7500, 2.7103
7.956,[kmtcs],2.7613, 2.7223
7.960,[kmtcs],2.7312, 2.7306
7.964,[kmtcs],2.7928, 2.7407
7.968,[kmtcs],2.7551, 2.7441
7.972,[kmtcs],2.7834, 2.7520
7.976,[kmtcs],2.7995, 2.7584
7.980,[kmtcs],2.7893, 2.7656
7.984,[kmtcs],2.8025, 2.7766
7.988,[kmtcs],2.8300, 2.7814
7.992,[kmtcs],2.7924, 2.7919
7.996,[kmtcs],2.8507, 2.7985
8.000,[kmtcs],2.8078, 2.8047
8.004,[kmtcs],2.8325, 2.8116
8.008,[kmtcs],2.8312, 2.8162
8.012,[kmtcs],2.8149, 2.8172
8.016,[kmtcs],2.8403, 2.8217
8.020,[kmtcs],2.8058, 2.8187
8.024,[kmtcs],2.8172, 2.8200
8.028,[kmtcs],2.8242, 2.8168
8.032,[kmtcs],2.7988, 2.8137
8.036,[kmtcs],2.7996, 2.8113
8.040,[kmtcs],2.8139, 2.8055
8.044,[kmtcs],2.7776, 2.8032
8.048,[kmtcs],2.8349, 2.7990
8.052,[kmtcs],2.7884, 2.7963
8.056,[kmtcs],2.8184, 2.7978
8.060,[kmtcs],2.7991, 2.7996
8.064,[kmtcs],2.7918, 2.7991
8.068,[kmtcs],2.8104, 2.8010
8.072,[kmtcs],2.7751, 2.7952
8.076,[kmtcs],2.8060, 2.7944
8.080,[kmtcs],2.7900, 2.7900
8.084,[kmtcs],2.7724, 2.7882
8.088,[kmtcs],2.7880, 2.7861
8.092,[kmtcs],2.7837, 2.7815
8.096,[kmtcs],2.7372, 2.7798
8.100,[kmtcs],2.7916, 2.7725
8.104,[kmtcs],2.7397, 2.7673
8.108,[kmtcs],2.7586, 2.7628
8.112,[kmtcs],2.7277, 2.7558
8.116,[kmtcs],2.7145, 2.7478
8.120,[kmtcs],2.7322, 2.7421
8.124,[kmtcs],2.6774, 2.7279
8.128,[kmtcs],2.7007, 2.7185
8.132,[kmtcs],2.6771, 2.7056
8.136,[kmtcs],2.6497, 2.6950
8.140,[kmtcs],2.6661, 2.6836
8.144,[kmtcs],2.6423, 2.6696
8.148,[kmtcs],2.6054, 2.6605
8.152,[kmtcs],2.6457, 2.6466
8.156,[kmtcs],2.5901, 2.6353
8.160,[kmtcs],2.6047, 2.6253
8.164,[kmtcs],2.5836, 2.6127
8.168,[kmtcs],2.5690, 2.6022
8.172,[kmtcs],2.5814, 2.5938
8.176,[kmtcs],2.5321, 2.5798
8.180,[kmtcs],2.5640, 2.5714
8.184,[kmtcs],2.5412, 2.5605
8.188,[kmtcs],2.5276, 2.5520
8.192,[kmtcs],2.5299, 2.5445
8.196,[kmtcs],2.5300, 2.5356
8.200,[kmtcs],2.4737, 2.5309
8.204,[kmtcs],2.5227, 2.5197
8.208,[kmtcs],2.4631, 2.5104
8.212,[kmtcs],2.4778, 2.5002
8.216,[kmtcs],2.4779, 2.4889
8.220,[kmtcs],2.4475, 2.4781
8.224,[kmtcs],2.4744, 2.4732
8.228,[kmtcs],2.4090, 2.4620
8.232,[kmtcs],2.4490, 2.4560
8.236,[kmtcs],2.4193, 2.4460
8.240,[kmtcs],2.4170, 2.4353
8.244,[kmtcs],2.4072, 2.4280
8.248,[kmtcs],2.4020, 2.4174
8.252,[kmtcs],2.3819, 2.4133
8.256,[kmtcs],2.3969, 2.4024
8.260,[kmtcs],2.3574, 2.3949
8.264,[kmtcs],2.3451, 2.3853
8.268,[kmtcs],2.3592, 2.3746
8.272,[kmtcs],2.3237, 2.3628
8.276,[kmtcs],2.3299, 2.3518
8.280,[kmtcs],2.3051, 2.3389
8.284,[kmtcs],2.3076, 2.3297
8.288,[kmtcs],2.2991, 2.3202
8.292,[kmtcs],2.2899, 2.3087
8.296,[kmtcs],2.2829, 2.3016
8.300,[kmtcs],2.2792, 2.2932
8.304,[kmtcs],2.2761, 2.2873
8.308,[kmtcs],2.2621, 2.2804
8.312,[kmtcs],2.2807, 2.2746
8.316,[kmtcs],2.2576, 2.2703
8.320,[kmtcs],2.2736, 2.2670
8.324,[kmtcs],2.2752, 2.2651
8.328,[kmtcs],2.2649, 2.2644
8.332,[kmtcs],2.2733, 2.2655
8.336,[kmtcs],2.2536, 2.2642
8.340,[kmtcs],2.2780, 2.2648
8.344,[kmtcs],2.2626, 2.2630
8.348,[kmtcs],2.2698, 2.2617
8.352,[kmtcs],2.2487, 2.2618
8.356,[kmtcs],2.2819, 2.2604
8.360,[kmtcs],2.2417, 2.2609
8.364,[kmtcs],2.2581, 2.2575
8.368,[kmtcs],2.2366, 2.2553
8.372,[kmtcs],2.2288, 2.2502
8.376,[kmtcs],2.2464, 2.2456
8.380,[kmtcs],2.1949, 2.2363
8.384,[kmtcs],2.2353, 2.2309
8.388,[kmtcs],2.1962, 2.2230
8.392,[kmtcs],2.2054, 2.2168
8.396,[kmtcs],2.1976, 2.2107
8.400,[kmtcs],2.2050, 2.2029
8.404,[kmtcs],2.1705, 2.2010
8.408,[kmtcs],2.2239, 2.1938
8.412,[kmtcs],2.1662, 2.1927
8.416,[kmtcs],2.1944, 2.1896
8.420,[kmtcs],2.1826, 2.1874
8.424,[kmtcs],2.1710, 2.1837
8.428,[kmtcs],2.2072, 2.1833
8.432,[kmtcs],2.1604, 2.1778
8.436,[kmtcs],2.2108, 2.1802
8.440,[kmtcs],2.1711, 2.1798
8.444,[kmtcs],2.2013, 2.1811
8.448,[kmtcs],2.2120, 2.1844
8.452,[kmtcs],2.2166, 2.1858
8.456,[kmtcs],2.1929, 2.1945
8.460,[kmtcs],2.2526, 2.1978
8.464,[kmtcs],2.2103, 2.2071
8.468,[kmtcs],2.2308, 2.2119
8.472,[kmtcs],2.2127, 2.2157
8.476,[kmtcs],2.2022, 2.2170
8.480,[kmtcs],2.2518, 2.2186
8.484,[kmtcs],2.2000, 2.2136
8.488,[kmtcs],2.2411, 2.2155
8.492,[kmtcs],2.2226, 2.2163
8.496,[kmtcs],2.2101, 2.2190
8.500,[kmtcs],2.2586, 2.2217
8.504,[kmtcs],2.2357, 2.2202
8.508,[kmtcs],2.2292, 2.2265
8.512,[kmtcs],2.2738, 2.2288
8.516,[kmtcs],2.2448, 2.2351
8.520,[kmtcs],2.2778, 2.2427
8.524,[kmtcs],2.2742, 2.2465
8.528,[kmtcs],2.2593, 2.2545
8.532,[kmtcs],2.3040, 2.2623
8.536,[kmtcs],2.2730, 2.2655
8.540,[kmtcs],2.3183, 2.2731
8.544,[kmtcs],2.2956, 2.2785
8.548,[kmtcs],2.2983, 2.2855
8.552,[kmtcs],2.3367, 2.2939
8.556,[kmtcs],2.3240, 2.2980
8.560,[kmtcs],2.3164, 2.3070
8.564,[kmtcs],2.3637, 2.3116
8.568,[kmtcs],2.3174, 2.3204
8.572,[kmtcs],2.3604, 2.3274
8.576,[kmtcs],2.3392, 2.3304
8.580,[kmtcs],2.3100, 2.3342
8.584,[kmtcs],2.3581, 2.3359
8.588,[kmtcs],2.2990, 2.3308
